ip,latency
104.21.17.143,630
104.21.23.154,632
104.21.49.104,636
104.21.44.253,637
104.21.238.21,640
104.21.60.142,649
104.21.83.240,651
104.21.83.236,657
104.21.74.202,657
104.21.20.248,667
104.21.237.68,673
104.21.23.76,704
104.21.27.153,722
104.21.19.100,750
104.21.118.23,754
104.21.0.205,773
104.21.117.2,802
104.21.1.19,903
104.21.82.112,963
104.21.82.146,964
