ip,latency
104.18.49.204,269
104.18.88.79,334
104.18.77.9,349
104.18.87.44,350
104.18.80.20,358
104.18.88.11,391
104.18.87.231,400
104.18.88.98,542
104.18.24.166,592
104.18.21.151,633
104.18.83.195,648
104.18.24.0,655
104.18.31.206,662
104.18.49.131,748
104.18.43.221,767
104.18.82.124,822
104.18.18.150,824
104.18.119.133,864
104.18.10.150,959
104.18.87.208,975
