ip,latency
104.20.103.37,516
104.20.79.4,537
104.20.90.132,617
104.20.215.89,637
104.20.221.130,638
104.20.173.13,651
104.20.189.84,660
104.20.67.88,661
104.20.24.182,662
104.20.255.74,664
104.20.26.232,665
104.20.90.52,685
104.20.74.214,733
104.20.41.59,762
104.20.19.228,788
104.20.90.156,813
104.20.14.16,897
104.20.215.41,903
104.20.3.107,915
104.20.44.4,916
